Date,Total CEX/DEX Volume,Total Volume
07/16/2024 13:00,2054100,2135521
07/16/2024 14:00,11316599,12765095
07/16/2024 15:00,8215023,8523406
07/16/2024 16:00,10302422,11041157
07/16/2024 17:00,11584147,13377332
07/16/2024 18:00,13551953,14977480
07/16/2024 19:00,8139535,9412101
07/16/2024 20:00,7483802,8004113
07/16/2024 21:00,8715595,10172166
07/16/2024 22:00,5904877,6568665
07/16/2024 23:00,4453679,5675007
07/17/2024 00:00,5921864,6661317
07/17/2024 01:00,7981159,9067827
07/17/2024 02:00,8667256,9364596
07/17/2024 03:00,9984976,11354037
07/17/2024 04:00,6871817,8509491
07/17/2024 05:00,8263193,9432572
07/17/2024 06:00,4941912,5698839
07/17/2024 07:00,7591236,8927334
07/17/2024 08:00,6230657,7354104
07/17/2024 09:00,6499293,7020427
07/17/2024 10:00,9767924,10149799
07/17/2024 11:00,4754731,5267000
07/17/2024 12:00,4833158,6240503
07/17/2024 13:00,6020014,7294651
